route_name,sep_factor,theta_sep_deg,theta_a_deg,theta_b_deg,snr_db,raw_success_count,tol_success_count,tol_success_count_rel,raw_success_rate,tol_success_rate,tol_success_rate_rel,rmse_deg,rmse_valid_count,mean_num_peaks,snr90_db,snr90_rel_db,mean_fft_center_error_deg,std_fft_center_error_deg,mean_fwhm_fft_deg,std_fwhm_fft_deg,mean_raw_search_ratio_4e,mean_piecewise_search_ratio_4e,mean_piecewise_span_ratio_4e,mean_theta_search_4e_deg,mean_routeB_beam_span_4e_deg,lambda2_over_noise_array,lambda2_over_noise_beam,root_dist_array_mean,root_dist_beam_mean
proto6_array_root_music,7,0.400000,12.800000,13.200000,24,200,200,200,1.000000,1.000000,1.000000,0.012235,200,2.000000,14.000000,14.000000,-0.013451,0.106130,1.955799,0.081865,1.466849,1.223293,1.182517,1.957269,2.838040,22.770571,23.886060,0.001187,0.001139
proto6_array_root_music,7,0.400000,12.800000,13.200000,26,200,200,200,1.000000,1.000000,1.000000,0.009393,200,2.000000,14.000000,14.000000,-0.001409,0.091105,1.936898,0.069305,1.452673,1.220499,1.179816,1.952799,2.831558,35.597220,37.341357,0.000933,0.000897
proto6_array_root_music,7,0.400000,12.800000,13.200000,28,200,200,200,1.000000,1.000000,1.000000,0.007539,200,2.000000,14.000000,14.000000,0.000112,0.070255,1.939422,0.053385,1.454566,1.220913,1.180216,1.953461,2.832519,56.034221,58.773783,0.000738,0.000710
proto6_array_root_music,8,0.350000,12.825000,13.175000,14,200,122,98,1.000000,0.610000,0.490000,0.085058,200,2.000000,16.000000,18.000000,-3.585886,19.629310,2.275865,0.688884,1.950741,1.303727,1.260270,1.825218,2.646566,2.117695,2.220870,0.006082,0.005778
proto6_array_root_music,8,0.350000,12.825000,13.175000,16,200,187,171,1.000000,0.935000,0.855000,0.053800,200,2.000000,16.000000,18.000000,-1.226544,12.914942,2.123890,0.648275,1.820477,1.282705,1.239948,1.795787,2.603891,2.839106,2.974215,0.004446,0.004229
proto6_array_root_music,8,0.350000,12.825000,13.175000,18,200,198,196,1.000000,0.990000,0.980000,0.036227,200,2.000000,16.000000,18.000000,-0.013382,0.213478,2.008090,0.217132,1.721220,1.274137,1.231666,1.783792,2.586498,4.014771,4.208456,0.003363,0.003219
proto6_array_root_music,8,0.350000,12.825000,13.175000,20,200,200,199,1.000000,1.000000,0.995000,0.026027,200,2.000000,16.000000,18.000000,-0.001005,0.200772,1.978505,0.165773,1.695862,1.268793,1.226500,1.776310,2.575649,5.884152,6.171816,0.002527,0.002416
proto6_array_root_music,8,0.350000,12.825000,13.175000,22,200,200,200,1.000000,1.000000,1.000000,0.019682,200,2.000000,16.000000,18.000000,-0.011063,0.130628,1.954390,0.099815,1.675191,1.265038,1.222870,1.771054,2.568028,8.848037,9.273019,0.001998,0.001915
proto6_array_root_music,8,0.350000,12.825000,13.175000,24,200,200,200,1.000000,1.000000,1.000000,0.016085,200,2.000000,16.000000,18.000000,0.014719,0.105439,1.940837,0.087321,1.663574,1.262715,1.220624,1.767801,2.563311,13.520833,14.165605,0.001578,0.001514
proto6_array_root_music,8,0.350000,12.825000,13.175000,26,200,200,200,1.000000,1.000000,1.000000,0.013580,200,2.000000,16.000000,18.000000,0.009112,0.089663,1.939271,0.070927,1.662233,1.262447,1.220365,1.767425,2.562766,20.909958,21.911205,0.001224,0.001173
proto6_array_root_music,8,0.350000,12.825000,13.175000,28,200,200,200,1.000000,1.000000,1.000000,0.009555,200,2.000000,16.000000,18.000000,0.001980,0.075385,1.940347,0.056750,1.663155,1.262631,1.220543,1.767683,2.563141,32.577842,34.129025,0.000942,0.000904
proto6_array_root_music,9,0.311111,12.844444,13.155556,14,200,19,8,1.000000,0.095000,0.040000,0.120069,200,2.000000,20.000000,20.000000,-0.923287,23.466408,2.368851,1.578362,2.284249,1.333211,1.288771,1.659107,2.405705,1.639351,1.717461,0.009050,0.008600
proto6_array_root_music,9,0.311111,12.844444,13.155556,16,200,104,60,1.000000,0.520000,0.300000,0.084146,200,2.000000,20.000000,20.000000,-2.111048,11.324806,2.063943,0.350372,1.990231,1.322430,1.278349,1.645691,2.386251,2.098007,2.199231,0.006364,0.006068
proto6_array_root_music,9,0.311111,12.844444,13.155556,18,200,178,145,1.000000,0.890000,0.725000,0.056307,200,2.000000,20.000000,20.000000,-0.163206,2.461154,1.988897,0.190836,1.917865,1.313363,1.269584,1.634407,2.369890,2.813067,2.947237,0.004498,0.004282
proto6_array_root_music,9,0.311111,12.844444,13.155556,20,200,198,192,1.000000,0.990000,0.960000,0.037684,200,2.000000,20.000000,20.000000,0.012715,0.165862,1.953348,0.142058,1.883585,1.306717,1.263160,1.626137,2.357898,3.963295,4.153928,0.003353,0.003195
