route_name,manifold_type,sep_factor,theta_sep_deg,theta_a_deg,theta_b_deg,snr_db,raw_success_rate,tol_success_rate,tol_success_rate_rel,rmse_deg,snr90_db,snr90_rel_db,mean_bias_deg,max_bias_deg,degraded_sample_count,num_peaks_found,lambda2_over_noise
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,7,0.778571,-0.389286,0.389286,28,1.000000,0.990000,1.000000,0.048306,28.000000,24.000000,-0.016464,0.054252,0,2.000000,8.318036
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,7,0.778571,-0.389286,0.389286,30,1.000000,0.995000,1.000000,0.042075,28.000000,24.000000,-0.016157,0.048845,0,2.000000,12.660534
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,10,0.545000,-0.272500,0.272500,-4,0.880000,0.000000,0.000000,27.143015,NaN,NaN,-0.577119,16.852033,200,1.760000,1.072766
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,10,0.545000,-0.272500,0.272500,-2,0.885000,0.000000,0.000000,28.472678,NaN,NaN,-3.256823,20.411159,200,1.770000,1.072574
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,10,0.545000,-0.272500,0.272500,0,0.880000,0.000000,0.000000,27.235403,NaN,NaN,0.049278,16.380958,200,1.760000,1.072213
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,10,0.545000,-0.272500,0.272500,2,0.855000,0.000000,0.000000,31.266867,NaN,NaN,-1.329082,20.134480,200,1.710000,1.069103
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,10,0.545000,-0.272500,0.272500,4,0.905000,0.000000,0.000000,27.668524,NaN,NaN,1.228308,17.862408,200,1.810000,1.072920
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,10,0.545000,-0.272500,0.272500,6,0.860000,0.000000,0.000000,29.570641,NaN,NaN,-0.285781,17.713003,200,1.720000,1.072111
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,10,0.545000,-0.272500,0.272500,8,0.880000,0.000000,0.000000,26.513224,NaN,NaN,-0.031652,15.848119,200,1.760000,1.074740
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,10,0.545000,-0.272500,0.272500,10,0.835000,0.000000,0.000000,26.462177,NaN,NaN,-1.248112,16.466548,200,1.670000,1.074776
