config_name,scenario_name,adaptive_policy_name,adaptive_confidence,adaptive_boundary_flag,failure_reason,row_id,config_id,seed_group_id,base_seed,trial_id,seed,az_center_bias_deg,el_center_bias_deg,truth_az1,truth_az2,truth_el1,truth_el2,true_orientation,fixed_success,adaptive_success,full_success,fixed_rmse,adaptive_rmse,full_rmse,fixed_num_pairs,adaptive_num_pairs,full_num_pairs,adaptive_vs_fixed_pair_count_ratio,fixed_full_grid_match,adaptive_full_grid_match,fixed_topK_miss,adaptive_topK_miss,fixed_boundary_hit,adaptive_boundary_hit,H_norm,gap_13,gap_17,boundary_risk,cond_risk,U_search,U_confidence,adaptive_topK,az_window_scale,el_window_scale
C05_easy_very_aggressive,hard_phase,EASY,high,,,361,5,3,20260611,1,20263612,0,0,7.585,8.415,10.125,10.495,1,1,1,1,0.0561248608016083,0.0199499373432595,0.0561248608016083,18936,9729,131461,0.513783269961977,1,1,0,0,0,0,0.995916685651697,0.00396276648851414,0.00727177597613475,0,0.0443699076850879,0.025,0.359663316899366,1,0.6,0.6
C05_easy_very_aggressive,hard_phase,EASY,high,,,362,5,3,20260611,2,20263613,0,0,7.585,8.415,10.495,10.125,-1,1,1,1,0.0561248608016083,0.0199499373432595,0.0561248608016083,18612,9729,131461,0.522727272727273,1,1,0,0,0,0,0.995396563980056,0.00357980495288342,0.00791063938183661,0,0.0427307558720042,0.025,0.359071486361021,1,0.6,0.6
C05_easy_very_aggressive,hard_phase,EASY,high,,,363,5,3,20260611,3,20263614,0,0,7.585,8.415,10.125,10.495,1,1,1,1,0.0561248608016083,0.0199499373432595,0.0561248608016083,18936,9729,131461,0.513783269961977,1,1,0,0,0,0,0.995929997957067,0.00397384733242222,0.00726786637335888,0,0.0443699076850879,0.025,0.359667976206245,1,0.6,0.6
C05_easy_very_aggressive,hard_phase,EASY,high,,,364,5,3,20260611,4,20263615,0,0,7.585,8.415,10.495,10.125,-1,1,1,1,0.0561248608016083,0.0199499373432595,0.0561248608016083,18612,9729,131461,0.522727272727273,1,1,0,0,0,0,0.995390983182857,0.00357733419620764,0.00794483872814364,0,0.0427307558720042,0.025,0.359069533082001,1,0.6,0.6
C05_easy_very_aggressive,hard_phase,EASY,high,,,365,5,3,20260611,5,20263616,0,0,7.585,8.415,10.125,10.495,1,1,1,1,0.0561248608016083,0.0199499373432595,0.0561248608016083,18936,9729,131461,0.513783269961977,1,1,0,0,0,0,0.995937990706583,0.00398685965378362,0.00729408673700972,0,0.0443699076850879,0.025,0.359670773668576,1,0.6,0.6
C05_easy_very_aggressive,hard_phase,EASY,high,,,366,5,3,20260611,6,20263617,0,0,7.585,8.415,10.495,10.125,-1,1,1,1,0.0561248608016083,0.0199499373432595,0.0561248608016083,18612,9729,131461,0.522727272727273,1,1,0,0,0,0,0.995503411859558,0.00357403602006012,0.00782152492742929,0,0.0427307558720042,0.025,0.359108883118846,1,0.6,0.6
C05_easy_very_aggressive,hard_phase,EASY,high,,,367,5,3,20260611,7,20263618,0,0,7.585,8.415,10.125,10.495,1,1,1,1,0.0561248608016083,0.0199499373432595,0.0561248608016083,18936,9729,131461,0.513783269961977,1,1,0,0,0,0,0.995938901161176,0.00397727992753191,0.0072867345947288,0,0.0443699076850879,0.025,0.359671092327684,1,0.6,0.6
C05_easy_very_aggressive,hard_phase,EASY,high,,,368,5,3,20260611,8,20263619,0,0,7.585,8.415,10.495,10.125,-1,1,1,1,0.0561248608016083,0.0199499373432595,0.0561248608016083,18612,9729,131461,0.522727272727273,1,1,0,0,0,0,0.995423562882649,0.00356202076115193,0.00790272606056652,0,0.0427307558720042,0.025,0.359080935976928,1,0.6,0.6
C05_easy_very_aggressive,hard_phase,EASY,high,,,369,5,3,20260611,9,20263620,0,0,7.585,8.415,10.125,10.495,1,1,1,1,0.0561248608016083,0.0199499373432595,0.0561248608016083,18936,9729,131461,0.513783269961977,1,1,0,0,0,0,0.995972921943531,0.0039866825738826,0.007266383590458,0,0.0443699076850879,0.025,0.359682999601508,1,0.6,0.6
C05_easy_very_aggressive,hard_phase,EASY,high,,,370,5,3,20260611,10,20263621,0,0,7.585,8.415,10.495,10.125,-1,1,1,1,0.0561248608016083,0.0199499373432595,0.0561248608016083,18612,9729,131461,0.522727272727273,1,1,0,0,0,0,0.99540689217726,0.00354857785194783,0.00792550242135821,0,0.0427307558720042,0.025,0.359075101230042,1,0.6,0.6
