route_name,K_phi,P_phi,center_window_size,sigma_phi,sep_factor,theta_sep_deg,snr_db,raw_success_rate,tol_success_rate_abs01,tol_success_rate_rel025,rmse_deg,mean_num_peaks,degraded_rate,oracle_best_subarray_tol_rate,center_window_two_peak_rate,best_route_minus_center_real,best_route_minus_min_den
center_window_7_avg_spectrum,24,42,7,NaN,10,0.263775445,24,0.130000000,0.110000000,0.060000000,0.098975175,1.130000000,0.870000000,0.140000000,0.111428571,0.000000000,0.000000000
center_window_7_avg_spectrum,24,42,7,NaN,10,0.263775445,28,0.140000000,0.140000000,0.100000000,0.058413836,1.140000000,0.860000000,0.220000000,0.152857143,0.000000000,0.000000000
center_window_7_avg_spectrum,24,42,7,NaN,10,0.263775445,30,0.130000000,0.130000000,0.070000000,0.069799018,1.130000000,0.870000000,0.250000000,0.157142857,0.000000000,0.000000000
center_window_7_avg_spectrum,28,38,7,NaN,7,0.376822064,24,0.730000000,0.580000000,0.490000000,0.085183822,1.730000000,0.270000000,0.680000000,0.707142857,0.000000000,0.000000000
center_window_7_avg_spectrum,28,38,7,NaN,7,0.376822064,28,0.960000000,0.840000000,0.760000000,0.083742995,1.960000000,0.040000000,0.950000000,0.931428571,0.000000000,0.000000000
center_window_7_avg_spectrum,28,38,7,NaN,7,0.376822064,30,1.000000000,0.980000000,0.900000000,0.083635647,2.000000000,0.000000000,0.990000000,0.984285714,0.000000000,0.000000000
center_window_7_avg_spectrum,28,38,7,NaN,10,0.263775445,24,0.080000000,0.080000000,0.040000000,0.068934580,1.080000000,0.920000000,0.110000000,0.082857143,0.000000000,0.000000000
center_window_7_avg_spectrum,28,38,7,NaN,10,0.263775445,28,0.030000000,0.030000000,0.010000000,0.084667764,1.030000000,0.970000000,0.050000000,0.034285714,0.000000000,0.000000000
center_window_7_avg_spectrum,28,38,7,NaN,10,0.263775445,30,0.040000000,0.040000000,0.010000000,0.072770785,1.040000000,0.960000000,0.070000000,0.042857143,0.000000000,0.000000000
center_window_7_avg_spectrum,32,34,7,NaN,7,0.376822064,24,0.280000000,0.170000000,0.160000000,0.097308812,1.280000000,0.720000000,0.210000000,0.282857143,0.000000000,0.000000000
center_window_7_avg_spectrum,32,34,7,NaN,7,0.376822064,28,0.550000000,0.230000000,0.160000000,0.101232944,1.550000000,0.450000000,0.360000000,0.528571429,0.000000000,0.000000000
center_window_7_avg_spectrum,32,34,7,NaN,7,0.376822064,30,0.660000000,0.150000000,0.090000000,0.106292988,1.660000000,0.340000000,0.290000000,0.638571429,0.000000000,0.000000000
center_window_7_avg_spectrum,32,34,7,NaN,10,0.263775445,24,0.020000000,0.020000000,0.010000000,0.054456516,1.020000000,0.980000000,0.030000000,0.021428571,0.000000000,0.000000000
center_window_7_avg_spectrum,32,34,7,NaN,10,0.263775445,28,0.000000000,0.000000000,0.000000000,NaN,1.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000
